NewtonAgentnum,a1,b1,a2,b2,mu,K,lastIterationValue,newtonAgent,innerloop,method,setup,nodes
0,1,-8,0,0,-6,152,1.91E-09,[],1,gradient,1,10
2,2,-7,0,-3,-5,42,1.51E-09,[0 6],1,gradient,1,10
4,3,-7,0,-2,-5,19,9.39E-10,[0 3 6 9],1,gradient,1,10
6,3,-5,0,-2,-4,26,1.80E-09,[0 3 5 6 7 9],1,gradient,1,10
8,3,-10,0,-3,-5,15,1.81E-09,[0 2 3 4 5 6 7 9],1,gradient,1,10
10,0,0,0,-3,-5,8,1.10E-10,[0 1 2 3 4 5 6 7 8 9],1,gradient,1,10
0,1,-2,0,0,-2,28,1.86E-09,[],5,gradient,1,10
2,2,-3,0,-3,-3,18,1.69E-09,[0 6],5,gradient,1,10
4,3,-5,0,-2,-4,15,1.73E-09,[0 3 6 9],5,gradient,1,10
6,3,-5,0,-3,-4,15,1.70E-09,[0 3 5 6 7 9],5,gradient,1,10
8,3,-7,0,-2,-5,8,1.02E-09,[0 2 3 4 5 6 7 9],5,gradient,1,10
10,0,0,0,-3,-5,8,1.10E-10,[0 1 2 3 4 5 6 7 8 9],5,gradient,1,10
0,1,-6,0,0,-5,39,2.02656895431641e-09,[],4,before,1,10
2,1,-7,0,-3,-5,22,1.2429110241019004e-09,[0 6],4,before,1,10
4,3,-8,0,-5,-5,17,1.2582614256073654e-09,[0 3 6 9],4,before,1,10
6,3,-10,0,-5,-5,15,4.831363226154295e-10,[0 3 5 6 7 9],4,before,1,10
8,3,-8,0,-2,-5,9,2.039578367307726e-10,[0 2 3 4 5 6 7 9],4,before,1,10
10,0,0,0,-3,-5,8,1.1021153434320752e-10,[0 1 2 3 4 5 6 7 8 9],4,before,1,10
